relay,occurrences
37DDF1906EE3DB96130A717EA54667C64DAC78DF,34
C02C4A53FE74BFC837728B44B37631E1AE9BA361,42
4338C8026D468B811D3EB11AE9E421E2089B8239,102
49BB2A92E8A75F90F1962C4057AC1CC48FF00115,75
42162BD0D9DD0175EB803F3920A87CB55262FF38,157
4F35B3EC9077B58D08129423CB9B1825EDB6FDCB,65
411414008252B37A49FD161AF7CF617D0673269D,76
F2899981E3A601A7B2DDC7DDE02C248069704D9F,44
247BC3276429268C3D440EA3C7F3DB23865D017E,175
1BAA33FE4AFA3A307797043FCD59665D3C2CE552,166
E859FFE3E8D09310F2664BAB8DAFEF33F5CD246D,79
BBAB820AF8216277F36EAA1787B44BA0A5D7C204,181
4080773D731E658EA1CD1DDF27D86A3A51BE294A,26
A0CCEB496F904402E59EF814728F942792972696,147
B3D398B386FAF2CB78B447FBA46BF2648C3F48CD,111
4A531AA712A3DF0A90EB42711EEBE90B6918B37A,195
215616527FB97ED5BE0BF8D2166BDB44EEB6A840,69
6859D71E3E1323F959F9E0559E83A9088C462684,159
B4E3546B058FEB655A6D8698D97C1459A2DF8E77,131
8CF987FF43FB7F3D9AA4C4F3D96FFDF247A9A6C2,163
8BF4E024210FF5DB1D7A4AFEBE11B48C73BFE779,158
890A37A31D610687482666C8A2A3CD7BEA86750B,206
C7735FB0369094ED6351130E81F3DFED25D67F8B,26
57337F05F8AD1368CE5A7990389BCC5305BA9DB2,143
1814DBD5E7E1839CA3F43847683A08F3BF3D5C91,24
89D1F2FECECC6184CA33C79EDC8CEA4D620224FE,98
C23A35AB5BF3052B020883EC8CE25AB4382CA745,282
8D7721D18401994CB9B9C31A140193B0B3E14B9E,182
88E4F86CCC346FE95F3B23AE95668FE435167190,38
0EA1D72D5925E999A93866FFCD16950D430DE267,57
04D9CEA8D778ABA130B014F758C2BCADD31DA05E,18
5AFB502D260BCCC9974C657E956B878D334BCCC0,78
0F2D7468A8404E5CB194D003F38EF2CD38930499,9
91B13F9A5E8B0071722A9F94FB5AEA94E2578618,153
327F5823438B8EC86EC33355C147D8455AB1C14B,40
6EA5A7EA8C2F192C37DCEB2AAD481DC7E72E65DE,146
824FDDADCE9B893382E28BA54C52406DBE3740C3,77
0EF99182CB04B14A718EFDFCC0FA3528ED486AB5,63
84E9A6110F9D4DB7727DCEF5AFD5D05CCEEC627C,69
36CCD481B3D9D72097323A8AE69E9B63D124A0E4,178
2B3AAC97B269D59E6D642C8BFB174EDD13741C38,304
6267BD5719B96B1C51689E44E2E5C9C7647FFC75,43
49604A7CC7E80AB3D518AFC3E95B2EA265532719,48
84EBB3427DBE96E6C37BE44A6E39CCD021CB7089,69
EE2A621042994B29452C12FF3B6F62D9E957758C,123
A3389B5CCACB850B45148895B26AC912B7EC9CB6,172
6287129CB9EC475E816A0D283FE4E45D632A4A4B,31
AF1E88B00582CD82EAB68C50211DEA47429D5E8B,150
7BF0C93246F405DA13EC3EFEC773DD7B4FF24721,44
A4F0F516C83DE11B290384B9B4A4C928A78ED3A5,193
CA45F54BD5C2158EE2E64C9433585EDC84B0E142,108
AD678298496E53217799D327DB4536738059660C,176
3DB72310F6999555E71A09C3FCDF86E8E99118F7,122
75CC6045FF35DB0A5215E054D552970A8B5161CD,141
BD2BC415D5D8AE3C34430E70EC82CF3B0C61BDDF,150
1CE1BE5A0847B901306CD1A302E0B2265C887F76,122
A06CDA7922E2522BAD37AABDB51BC953CC41BEB8,176
FC326586B78C91CE7199528B82163FD4FB189D57,209
5C426791CB47BDDDD97A71EB2EFC4CCC84DEB299,128
0E77288CBE1295EE6658CD9239936FF176729BFB,94
EFD152DEFB20393237C94AD5C3635D9ED9AE3E1A,42
E347622E1228CB1490817B9E78DE2107CC17E1B4,191
5F3B05B9A5575E614337AFA84DF04F526CD14C1B,112
22808E75F169C46F78B961D953E5451B58ECDA20,189
4D70F05DD308A2EA5B671E440879BFADAC92860F,33
6FC1F0A868B41BC5F79832547D4D1CF868171A31,40
5CDEC940C15EA7DABBFA8F58CD8945B875DA80C6,222
8A3D2DF07B66DDF8F81D2366C2C9D06209CFCAF7,122
89999C2F1D64A4620FC0CD601FC44C5F8E736286,262
FCCF75BDF66AC14527314EEE8306C3D55FC45423,34
1893041B86FCED1A2CE2F9E2C5987F534B7DC3E0,180
FC414C881F1FA2651FCB673D5793BD34ED68A50F,48
EE31EAFC6B10F8727CD83FB61A58B70638231F34,158
D6A75E0C04756CEAA20C5B1ED90F718AD6D06495,53
0D5AA7C0C53B65EBE9CE3A4093CBAF2319C45271,48
EA59302E12EF29767081816B9D639478E9D5A692,39
CF9FC63A01CD8B510F57A42874F6EB6B08DC13A0,179
CE9003208A047960246052C604A213C3BF096F61,159
F7755E9EB5C17ABB4887CA7750AAADB6BA665E49,194
996F4CFD78130203B80E854A4EF6CA2355C6C72C,117
6B762F98D14093EC36FD5055897E49331E579D6D,246
AE0946FB8E09BA81F050DD8106AF13005E24F16F,154
DA9ABAEA49FBF9E75E9EC020380E361688A3B23E,209
DC40A59D4D744F2C3C7A655EC6BF3A59AFA1C66C,79
B34CC9056250847D1980F08285B01CF0B718C0B6,406
17870FF7F98F4F5767C171D0D30F3FAF123DFDCE,24
10761183265E627529BC250B6A6645ED980D9697,116
24C4DB100C19AB17D1C37FC654EB4A55A8CD550F,16
9C38BABE2E9339C8BDF6D5DD10D2820302EE2923,267
79D9E66BB2FDBF25E846B635D8248FE1194CFD26,45
4BCF48ED6F3E283901B7727DBB0470E7FC934506,151
981DF882842207A759FAC8CE57651B8DE8A21CC4,109
1B08DD85E096AB216DABE144EC69A9CAF3C0E310,191
315F0069C49B0A8D58B5070CEBADD2E22D8CEDF3,37
29E8B05CA230B57FA21CC07687B8DA223EE27F6A,148
09EF7175E3CAF6D6D2994B7BBA92E3D2B66BECEE,36
8029928877A15A504D92996C65BFD4F0BDF4E702,257
5027B7919360F10414FEBD95ACA0B78B416F5FF4,52
80CA806137BF939FBADF38B106A7BBF631FE0F76,13
C4019EC5FBDB0401072599BC34E6FECD5F26692D,212
66F14E5CC6F92F3B1EF90E3E2D5DC8692F952A99,14
99B614E0B329CD3DF9C72269BA2C368D62EA16AA,169
8CAA470B905758742203E3EB45941719FCA9FEEC,71
F84791FF4E1D9689B17328B5B0EE6A82B0F04A89,159
133BBDA007B04F3EF3BAFEF9DE204425984CA841,50
C30FB92538EC00288BA735B89A533D70D20649A8,112
1B7F47827E2FFAFE05B92B1C5A92B8F9A4AF67DD,227
C2C89E448EE530A5A4D5674623D74E10B06EC350,38
009EF5F8572D671AFCBBAD65998BA35B50EE04BC,149
ED99D41F0D1CC7D65758E16448E482744118B9E7,45
E9429B869BA11A73BF4E4478061DF79A6BDBA6D9,185
5C3693C0E7B537553BAB35BDDB81DDD24E157B6F,197
F5A684405DAF449CE4885315C77B5C85EFB88E72,97
BA89AE7AF42F153E084B59597EEA58F43D970B13,20
4E12E30D96AC16A9AD654CB7FE77E9CF5D4C5BB5,95
EA9BC27138BCD6251244A2DD03D02C5D0A1CA87E,23
A9734CF95FA43E14C3757DB21CFC6CC96E2007F2,67
41EEC4CFA01E8982643F1AF3CD84315329D2B58E,49
61D1CDF92A05E59A06B6E20A39247696712B0009,215
6395A791417258F4F28FBFFE0A24833AE8895CC4,17
A53C46F5B157DD83366D45A8E99A244934A14C46,549
9715C81BA8C5B0C698882035F75C67D6D643DBE3,111
35D56293B6D7DEE2A43E91D87EBA33120B649D9E,202
5EA52391D9CEAF1D2075BCBAF05BF19AED16E1E6,78
8D7CEC67216E5B08371D6538BA6F5A504AB6CCB4,151
57C6A0B011E6BA509B3A87F0D1A1007A1A5C40C8,50
145E18875623BA0C7AD51EE8B1B9CF5121C071CD,31
964B4E8A75263A69769541F2764563DABDD995D2,88
FDC456B40ABF04ED01C4D2DF62E3E34025FB8DD6,8
2B01430798B2F1F068D4A0DF16819AD164DAE55E,185
768C50E197D3CBE256B30FE949603FD23112890B,173
BFC4044119080D8BEE70218978EE83C3FC16AE7A,155
6796E53160714D908B39BCB0058CF488FF940336,190
999B4A9F837A345EAA6BC11C2F1F701C5D11E3DC,31
A926FD90B7E867DF733FB5A335E884F9686584AD,91
BEC5DA93729F8ACA043228F057058A90C327AAA3,89
4F55C4E6A02489E4D6900547BE1C2D64B7CF730A,115
CE2A3D38CF6DDF16C454F0DA6358C5B021D4FE1D,34
60FE782DF923698546023C6F14FEC0884624F35C,208
1079E628FC6B0025656AC024F2D9975C441498CD,111
72F3AC8E95AD980DC5F0FCF29FDB1CE72128729E,148
00654113959763F653C92AFF078A7EC3A7BBD2D9,11
7BC8F2680657BE6C51B51FF6EE113E739D85EDDE,425
7460C77412E8C8E65ABE1797C652161FE903EBFB,142
E64B9A559386E5EFD4C3A4260ECB775C02C3C03A,148
51F0D13D91A60F0B4540F157DB68B70C7FDB1439,136
AEFFB7CD982326B56EA9787678BC06D2B28E10ED,72
1B18F98534634EF4EB4B36523F052F4D829E0496,222
D16A75E422664448F8A7E7D536D359D512B91256,37
889944F540C155E7E32C909B9E1424677689AD4D,121
EC9621433DF2C996DE55A7063BAAFB2B71C3C01B,197
6589CA083F00587B261AB35757E9CD71FE95D6DF,54
9ECF8F065C79FC213A1BF6C1AA2D8CBCC9368F92,188
F50755D5018C23F6CD115F23C95CCB2DC8B608B1,79
96E11CCAF13FC2F6436C06CBF6DB9F383D91BAE2,68
CD10B52ACC8A0AD7D1B4C40B849771BD1D0DFF45,21
9EAD5B2D3DBD96DBC80DCE423B0C345E920A758D,154
9BD0EE79BB9878DD6D8D8EA2A288D5E301E5C136,139
BDD483C1AFFF86711BEAB5565E88644B4349A0DA,100
E2E12B9C1DAEF45F3448BCE72CD28C382A9D5AD7,177
E97F58C06E7AA7175F9BE2A3C708325C03FB2FB1,258
32742AD57C3D243DA0713BB6DFD82118DF573D2E,197
3DE791841B38F2071450E0FBFD3B41E067267F32,327
80F322ED0995F27CD26B5A9DE7B804F92E8ACA94,47
DDCF910A24666960B7B0234E28B855147AE3B13D,54
D7296ABD49C14BF50726227BFAE1ACA423ACC229,206
E4E4018DFCDAE84F4D97AC89E582D96093603758,34
9DCAD3DBEFDA6015D113C9ABC010B1490620CD2C,48
C4A2975FE68426B942074C05A3C9694952B19F71,52
40691D43E3E65FADE0E1FB079073D26CACE9078B,169
7CBD6718FF989EE6137448C9FF1A68533ADB1CB5,185
F66DBA2ABD941CCB82A6143AF8D1CD3EEF1622F0,168
4055CDDFF7B3F9E6A50447609A3014753A82EB26,8
EBD2CBFE1D1101E5B8B138823CC21411F3953544,159
C64802B38B41A8F20F884932840429D6F611DCB3,56
CF742C808981C6B34D17430FF3CB6424172A5A0A,48
E083B7028BAC12392FBE79E2A0A408E89F289E82,34
42B4F52C5B11E4D39855F654955425B0D5A0598B,145
C8A9F2E424B19E479AB5B9CF62A6C9A6B3AC1251,27
A99B0D9E5FD5BC3C8F2D006EC91F8C7F40E09CB8,129
470B54F5AA28A0E0310B8B8DA36B33CDB851ECD7,282
F6740DEABFD5F62612FA025A5079EA72846B1F67,168
9EC24BD0D71D97F2BBFC3968DC9C5BBB5518E9C2,160
B569A14D6D25D65E3157D5493BBC9CCA1689791E,78
B992D3A057731D61E60D82116ECEB0329D7CBEB3,12
0CAA2E9044A86B11915C413B5A0911DF29E9A1AC,72
6C6A2EF28972429F27432B2F6D4D04C5FC68104F,197
BFEAA8BE9048460E97DE383CF13969D1DFA630BE,55
F3D51336D5A8C15489C9035D2B2293283D051755,69
5E52BEA22130598F200D05C42BB66709C24E8F67,202
AF8E2D858596579BE8CC48595C1AB098E5B83E79,21
21A0107E04848E6A2A2B2EDC4356098C453A0E8E,191
1094443C8D258071CE51C7CCC034E88A92E2FA0F,20
DE9317A1C4B5A95AFE78ECAC82B5DB6A7018B36B,140
AB0E6771C4837B2707FC5D1E6AE24179E4498C55,15
90B18D4833410D96F174EE63FDF38905184FB11E,74
C899F20DC8005037C86B0E447857383D95FC7422,137
5CC0AF3454220B8273904827661B2E51832FAC44,131
41913709BB2C7BC3C87D797054AE082116D4FD1E,31
3B642FF7FE3915C42E20445A1C725A75BAA0A9E3,49
0B888583EDB73862F444F2224F5C411DA4F7E9FE,51
7C4B37F45CFF88B36C0A77DC3331FA58F29963DB,144
5C8BC829C436731B50ED8657019E849EDF76B091,55
A2DDAF6C9095A2110B831E655D67E5221F8FEE6D,82
CB19C930356F4F321CC87E063EBDE473674F2F97,65
B693FFB4FEC6D5AFC4B44010B51305853B0CDC0B,145
1EFBACCD28A07FD6AD7AA6F1293177D71397E918,91
FF75830CAEDE85B145DC6C6FBF4D0C548361557F,83
A162AB33A75096A780CD8D15A47DC9EC6ABDC4C7,209
34E0F3C2B4FDE39A0ED30F8A93841A955117F337,60
7E6C44650CD94DA3696BFC90F55E736855F56325,18
493A402320BA0F4EE453D0098FAE8452723B2EB8,26
1AB5E57A8356C94803B9199FD4A9845854E6A0AC,112
F5204D98AB3894B807A0C2412267F4B69BA491C5,35
ABD9D46C3C026CF6B88574A0707D0BF75A067999,99
8BB55A3AFBB7E5D9EB83215DEC8F219E68DF9B6D,22
70C169AAB6B4E82C8FE0ECE2BEFB4A7FAB460A1A,49
FA561E534DDDE63830FA0B0A484235ED23BB27A3,45
CC11CFF453EAF54B4FB50C02AB69A5140923F6AD,162
B1CD57EA0A63CC45CCD14E3560CFC8F527ACBD8F,13
99DB99DF22EE52B9B3A32749C12EDEA78F166B3F,7
2B97302BE55CA8F31415805C1CD2A479B2DD1487,158
05475D946B748E1204F4D9AA44004575DB2A3CA7,26
5BA19B5D5AB0CB9EF8EA33DA77585B75449400B0,182
9B7BAE325EBDAD859868D2C60BF6588CA5949039,56
C0E7334A181184ABD07698D04ADC19E15E3EE184,139
8970A3544290D671DCBD9B96C0EDD658E16F7428,49
725FDAFDEC3E6F0368941BC96A33CA3E6C8175B9,51
E12D52BD3E3A88098EEDD389874D30816801A467,63
4AA9B9E3FDCCF33D1907ABD23B943E92FEB5E2D7,7
FA45A97F27C667A1C522F0BEF8435213887682B2,48
32ED1B555FB140D6DB9BF1AFF81C2B66B321D2A8,206
D58ABC85644F021638010310C3C4B3511A8A4142,223
4BE1FEFF6E9079F70784B9EB5A6D1A66C80AB725,199
83697B4F9EA8401DA99E57E2120746F396047AA3,36
DE847D94E78B2E560AB87D272DC90192D3144F17,175
9A82114F767D0A2E5A83FF60815B64044AC224B7,235
563066FD3957D31AAF7860DD6A889EA1044888D4,83
FD79B7F9230858B48E75F389661840C702511078,65
3AC3A65D5D6DE9C9236734A4C0DD282CFF49AF53,136
FC2C8BCCD8313004F8623FBF62ADD044105DE429,135
659A6CAC258D9F9B009A36F9E3EE2099F0760192,95
1AA63474AB2277A944E452649EB19044F21314E4,48
38414349727B47C7CFDCD4D1051AC86592A24DA8,185
8BE849CA165C514976D201B0F98586FEBDC3EC75,47
45AD465ED723A7567A7AE02D31404797FD5244D7,35
86561C416F81CFFFD46D6E85CAA525B65E29D045,33
3116830C560796674785D6E7900986698171E150,77
54A4820B46E65509BF3E2B892E66930A41759DE9,82
8D41994D1D18E94403C3F67D0699E4C9D2248D4A,60
5788CEC0A7C5EE251FC72C55730A6B1FCAEA1D93,193
39F096961ED2576975C866D450373A9913AFDC92,276
BFC6E7F298D581344DFCE95BB7EE9EDE1FC0745B,44
BFF46E10B7D4BBAB386A0515521E5AABA829EE36,147
AE6CE2B402C2930EBAF59A616E80AD43F7AB123B,55
1B78106D1E5653070DA6FAA0F95EC653932F49B4,98
C5E0FF684FA437B905F53AEE45749DAB1868D5D1,50
54F33A3A16B6EA44F2DB3627FC55753CE6C2249B,183
B6B842FB52E5C4FD0CAD432ADB6C7F46E8112A55,43
035F813195F0CB9F567EDFDF60C6745CA36BA0BD,122
FBB30BF902CE6A462B5FB8C376EB5E9DC6AF5A70,21
44DC23661E05DEFD94398936D9334987ABCB6E5E,75
6432C42068754BA8C9AA0A68FE4174349474550C,186
9AB93B5422149E5DFF4BE6A3814E2F6D9648DB6A,29
99E152CDB12F5ABBE08C0A2EA5B126CD3F1FAC5F,158
D35427E607554F1DE8C876A6A8CF3904B1A94175,203
F9975C17673E7B5C82B937E3BCFBE59EBAA4188E,44
D9BE4EE032E43CA43413F8E6715EBD7CE08D65FE,141
21C9D9F1633246269DEB84A79495E85C07E8466D,37
DA32E22C221EE70C0BBF7A06F27984B6B9BD6440,215
9EEAA02E338CDF5919F983F3245AA95A790B9B6C,6
64EEA511984F2C862F09E77755DC657EC31E6483,264
403F15AECF063FCE51017A862F48A23D23C53D8C,198
EFF9450F68918776F870BBC554F8E3A7D6E1C953,184
F8167F4E684CEA838CC829992373296D3B1DC474,65
C94343302B631A13A6F510E964849609488EC396,169
5822CD8E814A810084FB339FFB8575FC710C7F31,57
55695AD64063F68E54806ECA7068ECA187D411F4,231
A85182BA1AEBE09BF54F422310095E9B826E1324,57
100DE42012BB739A56EAF3266A21C9B168A577BC,53
B2FB3A302B56EFDBF0CA061E84BE4599305CE477,208
0040A5B04C7E309D37CBE7EDB2B72D3E15D057C1,30
57BC08F00C6A083631EF32352CEFF7564D2A66AD,189
7E1E7281107AF03B4C2C8744C7F82F2924311316,77
8D896C8B367813030591A00DB7E7722EF6C4C23C,47
24CE67466A084B09C5130CB04FDA2840F27E82A2,26
6B3737362FF7A59C0B856B2D5A75B37BADC7AC99,96
5A9F16CC66A197ABD71025C088DEDE3E59DC6003,57
91892720F9262CB37B91A7176D3D2280F7AF14BE,209
A8A2FD93B62126CDA2A3597AD17AE9CC81174C69,132
E1AF5373E3240566B598FA481AD3860549F6168B,32
C51579E3A6611562DDF28FC67CCD16EE5E05717F,167
24523E7B004983EC4CA5033EBC9B7293F12F237C,145
135F2A8B32F583845F2B0E133EFD84C25026761B,112
790D029B1AF5F4E564EE87B5DEEBB372974AB5CE,26
23C64D7C96C8390013C9E583230E81E70F81F756,394
97CD4CCF76AFCD753403B24149F49AE3AD3F0C23,171
1CDA765239A945979917154730B66179092B305F,196
1E64DACE137A4A6223E7A4A73060A22ECA46D7B3,50
DEEA6726D599008D656B3CBA1611D2361C7E2833,99
756576CF5DA387CDD7EABCCA3F8EAEF933CB4486,15
5450CC0E3D08BB001E8229B8990323D11BC63332,134
F9EAF68A9CB5545DE0EAC93B4A31A6D2069D36D6,16
F00EC2E0A2CA79A57FE7A0918A087987747D772D,192
61C03827FD9914CDCB2EA809A824A435AEA0189A,214
AC7C0F9D57DADAD5D8F4568EE1543EF3E22A47CE,132
CC004E20B4E30D42B3BA1A1661640C50611112F5,206
39B521C5F16C984400EECC4E2F83BF26E73F1D1D,73
2F98E853A570AC7A79B4082364B781AD67705074,3
C7A51E46740C15DEC0535AF5560A1919CE6E5758,175
32D61814AFCBA46866DC1F402EE2967D9AC1123D,82
B17565B56DA028F45ABEC5EAB31F01675B26241F,193
EED3FA6FD91E9A391C877DA26DCB1E3B671BA188,33
00DA4A3852EA5EF6841B8B4372DB0EFD3AB0BE92,99
A36D13036750E477E0C5628A5BE4FECB63286D80,20
A1CB336BD5892943FA576AE553F8A64FF4CD8690,51
12C2B0CD1B8C7A12229A7C36E134274550DCD7F4,39
55D7C59794C6F863B029F7D2561D67418C25FEAE,235
6C68BEB275D375B510681243C90371BA0B518E77,157
37F8BB02E187ECA1314464E729489F1E98B45988,41
0CA98ADB618B4D823CCBE1DF6602D94DAFE11CD6,19
DA4E07DF65EE885F7C57113AB3E4737DD63D315A,162
03BE73E581F99EFFF19AB582EF0C7E8E6531CEDA,29
F701953ECBB6926F29912698078858EE3C2A3144,55
0BA1C8F26AFAD3FAEF3B6A228F97382D115027B9,233
8D3D9BBFF1B835543B9EB0F5A579A2356935B552,56
0D6A6F948FDBD8BBE8D4EC8FED9471C52289FFCE,169
FDA8D6D82B25D5FEDF9B42163FF7916BB177C912,18
41F3DBD52544D065EA488175BBAD5993EFAE2757,93
4FC6213146F9B806F957ECCDF30E8E96F867787B,75
B8D45E58E35F62201B906EC927795D33649AC10D,33
12B261311FC886780A863F34E7011079B7476BAF,43
C92F69EE5756200F160CCFAFE9C3C984D3E6D561,73
1CACE884480BB87CC640A51C46087F18F4ABA970,125
5DA69B086B833FC1DFCF2D9C8B9C3B03137C7EFD,43
6C631A98BE997E15B2F72D1097E34CDC523827EC,178
EC16F2B1D13F65836FD2B7856995828D18F32CC0,40
A00AC05BA84E2480CAB5765EA7ABFCB17CED0AE4,196
9C585AE38D855C0D5C64D4DA1CC6F61C6E7AF642,25
F705AB8E4E1D9FEC90C67D50FCFCE94B1854003F,66
276B47FB06DF473F44FDA0DA5C7273B4F659419A,216
0CA1B6BC906E5DD6F4CFE322B4BEFE7A17D42D52,160
BC6C40A536E11EE62F1AE130FFC0543B9A9155B4,45
3BB035514F8246AC367B5370F4FE120BB11D8C6D,25
3CDCD71DA0C829641D9DAC603B0E5C4315F14529,24
0EA36BA7380AFC4E628997289EB9E78E6984CAB7,102
5495F0435963D526BFD303120D0BEC72363842F6,18
A7C6072A52804A8170D855908A748541F5D02B2C,172
93907CA25B6C273F679959ECE471978C712DCD9A,14
1D65771E68383F294D4F1131B19DF64989EEDF8A,9
340B09ACCF45A98711ABB067820E25A2F21452C6,24
383DB26B4684EC88C95B413827A2BE89720B096D,174
915E9786806C93BC984CEF2C00F62218A48EB8A7,3
1C7020213CEBC46299B77E42D498522B64C77E99,89
3FCC924A9743B3F47016636C37E3FAD0D0091741,138
A1B87E05A094BF1302580F7465DAAE011516F345,56
7D55F879ADE1E7AC49BCD40D7F68293308233F18,28
E785813FBBD352664BC1F133CE31A54EF596C5BD,140
67A54EDB7DADDBBC1E8A07F1EF82364BDAA896B7,182
E2BA86612D8D0EB8022CB115028560046EEECA02,154
72A33E374DE5AD1E617394896F0FD8B092D3E7C4,33
